35,B&M`s,Mrs. Margaret Hughes,162 Frampton Road,Penyrheol,,Gorseinon,,,,,,,,,0,,,,,,,,,,
36,Be Wise,Shopper Direct,Commercial Street,,,Newport,,NP9 1HL,,,,,,,0,,,,,,,,,,
37,Bryncoch General Stores,,43 Main Road,Bryncoch,,Neath,,,,,,,,,0,,,,,,,,,,
38,Bird In Hand Entertainments Lt,"Mr. O'Brien,",124 Commercial Stree,Maesteg,,Bridgend,,CF34 9DL,01656 739000,01656 738008 (H,,,,Marks Home Number: 01656 739672,0,,,,,,,,,,
39,Armine Social Club,John Rodrick,65 Armine Road,FForestfach,,Swansea,,SA5 8DD,01792 586014,,,,,,0,,,,,,,,,,
40,Burry Port Reading Rooms,,Neptune Building,,,Burry Port,,,05546 251,,,,,,0,,,,,,,,,,
41,B.R.S.A. Club,,Rear Of 33 Stow Hil,,,Newport,,,01633 254741,,,,,,0,,,,,,,,,,
42,Briton Ferry Con Club,Mr COLIN TUCKER,Graig House,Graig Road,Briton Ferry,Nr. Neath,,SA11 2YY,01639 813210,7967221282,,,,E BURNS Treasurer - ,0,,,,,,,,,,
43,Big And Tall,,Orchard Street,,,Swansea,,,01792 465519,,,,,,0,,,,,,,,,,
44,Buildaplas,,69 Glanbryndan Ave,Uplands,,Swansea,,,0792 461576,,,,,,0,,,,,,,,,,
45,Bake & Ice,Mr. Moore,214a Whitchurch Road,Heath,,Cardiff,,,.01222 616243,,,,,,0,,,,,,,,,,
46,Bryn-Afon Stores,,5 Bryn Afon Road,Penyrheol,,Gorseinon,,,,,,,,,0,,,,,,,,,,
47,Brynteg Service Station,,,Tycroes,,Ammanford,,,0269 594414,,,,,,0,,,,,,,,,,
48,Barons Nightspot,,College Street,,,Swansea,,,01792 650123/6,,,,,,0,,,,,,,,,,
49,Bird In Hand,M. Perks,1 Hewell Street,Grangetown,,Cardiff,,,0222 231744,,,,,,0,,,,,,,,,,
50,Barry Dockers Club,,Vere Road,,,Barry,,,,,,,,,0,,,,,,,,,,
51,Boars Head,,Market Street,,,Caerphilly,,,,,,,,,0,,,,,,,,,,
52,B.R.S.A. Club,,Prince of Wales Road,,,Swansea,,,,,,,,,0,,,,,,,,,,
53,Bridgend Athletic Club,Mrs Davies,12 Ewenny Road,,,Bridgend,,,01656 652263,,,,,"Chairman- Terry Coles (H) 01656-655817
Sec- Roy Huntley (H) 01656-669192
Treasurer- Barrie Morris (H) 01656-645103",0,,,,,,,,,,
54,Andrew Gardner High Qual Butch,Andrew Gardner,87 Garn Glas Road,Tycoch,,Swansea,,,,,,,,,0,,,,,,,,,,
55,Abertillery Sports Club,John Jones (Secretary),5-6 Carmel Street,Abertillery,,Abertillery,,NP3 1DG,01495/215423,,,,,,0,,,,,,,,,,
56,Butchers Arms,Mrs Watley,MERTHYR ROAD,PONT WALBY,GLYN NEATH,SA11 5LR,,,01639-722155,,,,,,0,,,,,,,,,,
57,B.H.F. Handyman,,65a Station Road,LLandaff North,,Cardiff,,,,,,,,,0,,,,,,,,,,
58,Bush Inn,,Graig Road,,,Cwmbran,,,,,,,,,0,,,,,,,,,,
59,Brown Sugar,,12 Bullwark,,,Brecon,,,01874/625501,,,,,,0,,,,,,,,,,
60,Afan College,,,Margam,,Port Talbot,,SA13 2AL,01639 882107,,,,,,0,,,,,,,,,,
62,Bush Inn,,,Dafen,,LLanelli,,,,,,,,,0,,,,,,,,,,
63,Alex Portugese Restaurant,,40 Clifton Street,,,Cardiff,,,,,,,,,0,,,,,,,,,,
64,B.J. Fisheries,,5 Newton Road,Mumbles,,Swansea,,,,,,,,,0,,,,,,,,,,
65,Barrows Wine Bar,,42 Newton Road,Mumbles,,Swansea,,,0792 361443,,,,,,0,,,,,,,,,,
66,G. Brown,Mr. G. Brown,12 Gwydr Crescent,Uplands,,Swansea,,,,,,,,,0,,,,,,,,,,
67,Beddau R.F.C.,,Castellau Road,Beddau,,Pontypridd,,,0443 202320,,,,,01/6/99  BOUGHT NEW SHARP TILLS,0,,,,,,,,,,
68,Bonymaen R.F.C.,Chris Spearing Sec-,Cefn Hengoed Road,Bonymaen,,Swansea,,,01792 652859,01792 460094 (H,,,,paying mc. by s/o @ Ï25.46pm over 12 months.,0,,,,,,,,,,
69,A.C. Newsagents,,107 Bridgend Road,Aberkenfig,,Aberkenfig,,,01656/721491,,,,,,0,,,,,,,,,,
70,Ashburnam Arms,,Hill Lane,,,Kilgetty,,,01834 811750,,,,,,0,,,,,,,,,,
72,Royal British Legion (Abergav,Bob Doak (Treas,10 Nevill Street,Abergavenny,,Abergavenny,,NP7 5AD,01873 853375,,,,,"Another contact ;  Judith
                             Tony King 01873/855571
David John - Sec HME 01873-831064
NOTE - S/O NOT PAID SINCE AUG 01",0,,,,,,,,,,
73,Amy`s,,1 Cowell Street,,,LLanelli,,,,,,,,,0,,,,,,,,,,
74,Baglan Bay Hotel,John Budge,42 Church Road,Baglan,,Port Talbot,,,01639 813228,01639/822508,,,,,0,,,,,,,,,,
75,Buckleys Brewery Off Licence,,Gilbert Road,,,LLanelli,,SA15 3PP,0554 750361,,,,,,0,,,,,,,,,,
76,A.W.C.O.,,Fabian Way,Jersey Marine,,Skewen,,,,,,,,,0,,,,,,,,,,
77,Broadway Restaurant,Mrs. Williams,21 Singleton Street,,,Swansea,,,,,,,,,0,,,,,,,,,,
78,Brecon & Radnor Con Club,,54 High Street,,,Hirwaun,,,0685 814717,,,,,,0,,,,,,,,,,
79,Blaentillery W.M.C.,,Rose Green Cottage,,,Cwmtillery,,,01495/212549,,,,,,0,,,,,,,,,,
83,Books & Things,,30 Woodfield Street,Morriston,,Swansea,,,0792 781744,,,,,,0,,,,,,,,,,
84,Bay View Shop,,,Rhossilli,,Gower,,,0792 390377,,,,,,0,,,,,,,,,,
85,Associates,,18c Heol Ganol,Sarn,,Bridgend,,,,,,,,,0,,,,,,,,,,
86,Bush Inn,Sylvia Hitchcock/Ted,St Hilary,Cowbridge,,Nr. Cardiff,,CF6 7DP,0446 772745,,,,,,0,,,,,,,,,,
87,Bengal Brasserie,,Walter Road,,,Swansea,,,,,,,,,0,,,,,,,,,,
88,Bronllwyn,Mrs. M.B. Griffiths,,Penparc,,Cardigan,,,0239 612284,,,,,,0,,,,,,,,,,
91,A1 Video & Off Licence,,189 Chemical Road,Morriston,,Swansea,,,,,,,,,0,,,,,,,,,,
92,Bowmans,BRAINS BREWERY,FForest Road,Beddau,,Pontypridd,,CF38 2DP,01443 203766,,,,,,1,,,,,,,,,,
93,Blackwood Con Club,,105A High Street,,,Blackwood,,,0495 225241,,,,,,0,,,,,,,,,,
94,Abergavenny Con Club,,Park Road,Abergavenny,,Abergavenny,,NP7 5TR,,,,,,,0,,,,,,,,,,
95,Maureens Flower Corner,Mrs. Maureen Saysell,2 Sterry Road,Gowerton,,Swansea,,,0792 872215,,,,,,0,,,,,,,,,,
96,Ball,S.J. & A.J. Ball,32 Sterry Road,Gowerton,,Swansea,,,,,,,,,0,,,,,,,,,,
97,Bruton,,114 Eversley Road,Sketty,,Swansea,,,,,,,,,0,,,,,,,,,,
98,Hanbury Arms,,,,,Caerleon,,,,,,,,,0,,,,,,,,,,
99,Brecon Arms,,56 Gilbert Road,,,LLanelli,,,,,,,,,0,,,,,,,,,,
100,Agricultural Cent. Trading,John Williams/Dick Webber,Alltycnap Road,Johnstown,,Carmarthen,,,01267 236342,01267 234210,,,,01.06.99  THEY HAVE BOUGHT NEW SYSTEM  CSY VETRA SYS,0,,,,,,,,,,
101,Abbey Building Supplies,John Lindsey,,Mat Price Ind. Estate,,Neath,,,01639 51519,,,,,,0,,,,,,,,,,
102,B.P. Sports & Social Club,B.P Oil Llandarcy Refinery Ltd,Britannic House,LLandarcy,,Neath,,SA10 6HJ,01792 812036,01792 654479,,,,,0,,,,,,,,,,
103,Bridgend Inn,Andrew Patterson,Bridgend Square,,,Haverford West,,,043776 67863,,,,,,0,,,,,,,,,,
104,Angus Fish Bar,Mrs Davidson,158 Danygraig Road,Port Tennant,,Swansea,,,01792 649871,,,,,,0,,,,,,,,,,
105,Blackpill Post Office,J.M. Rees,110 Mumbles Road,Blackpill,,Swansea,,,01792 401689,,,,,,0,,,,,,,,,,
106,Morriston Take Away (Was Anns,Derrick Rorke,17 Cwmrhydyceirw Roa,Morriston,,Swansea,,,0792 797776,,,,,,0,,,,,,,,,,
107,Maesteg Electrical,,29 Talbot Street,,,Maesteg,,,0656 732445,,,,,,0,,,,,,,,,,
108,Burrows Service Station,(Powell Garages),Fabian Way,Port Tennant,,Swansea,,,0792 468078,,,,,,0,,,,,,,,,,
109,Brynmawr Community Centre,Bleanau Gwent Coun Civic Evale,Orchard Street,,,Brynmawr,,,,,,,,,0,,,,,,,,,,
110,J. C. Jones (Newsagents),,,Penybanc,,Seven Sisters,,,,,,,,,0,,,,,,,,,,
111,Akbar,MR. Akbar,3 Miskin Street,Cathays,,Cardiff,,,01222 233568,,,,,,0,,,,,,,,,,
112,Bwlch Rangers,Mr Daniels,Glamorfa Park,"Dafen Row, Morfa",,LLanelli,,,01554 753852,,,,,Mr Wayne Morgan Secretary Home 01554 753594,0,,,,,,,,,,
113,Bee Jays,Mr. Bill Jack,The Lion Yard,,,Brecon,,,,,,,,,0,,,,,,,,,,
114,Argos Social Club,John M. L.T.D.,21/23 Market Street,,,LLanelli,,,01554 774374,,,,,,0,,,,,,,,,,
115,Bendall & Son Ltd,B.H.F.,26 Commercial Road,,,Port Talbot,,,0639 884191,,,,,,0,,,,,,,,,,
116,Blue Scar Club,,,Pontrhydyfen,,Port Talbot,,,0639 896456,,,,,,0,,,,,,,,,,
117,Alex`s Hair Salon,Mr. Butcher,4 Newdock Road,,,LLanelli,,,01554 753730,01554 778593,,,,2.06.99  SPOKE TO MR BUTCHER HAVE GOT A NEW COMPUTERISED SYS,0,,,,,,,,,,
118,Bacca Fish Bar,Wayne Davies,"14-16, Commercial St","Aberbargoed, Bargoed",,Rhymney Valley,,,01443 838481,,,,,,0,,,,,,,,,,
120,Aquatic Supplies,,Avon Road,LLangenech,,Nr. LLanelli,,,821517,,,,,,0,,,,,,,,,,
121,Boutique Roadshow,,7 West Street,,,Gorseinon,,,0792 893746,,,,,,0,,,,,,,,,,
122,Basil M Jones & Son,,Sway Road,Morriston,,Swansea,,,0792 790221,,,,,,0,,,,,,,,,,
123,Albion Arms,,LLansawel Road,,,LLanybydder,,,01570 480525,,,,,,0,,,,,,,,,,
124,Beauty Spot,Mrs Christine Brazier,Unit 4 Cawdor Mews,Main Street,,Pembroke,,,0646 868040,,,,,,0,,,,,,,,,,
125,Artfull Dodger,,602 Mumbles Road,,,Swansea,,,0792 367309,,,,,,0,,,,,,,,,,
126,Ancient Briton,,Brecon Road,,,Penycae,,,01639 730273,,,,,,0,,,,,,,,,,
127,Jenallens (Ladies),,23 Main Road,Gilwern,,Abergavenny,,,,,,,,,0,,,,,,,,,,
128,Lodge (Formerly Brittania),Paul,"Eriw Road, Brittania",Port,,Rhondda,,CF39 9XX,0443 685393,,,,,,0,,,,,,,,,,
129,Julians Superstore,John Kiley/Ann,Garngoch Road,Garngoch,,Gorseinon,,SA4 2LT,0792 894927,,,,,2/6/99 Purchased equipment elsewhere ,0,,,,,,,,,,
130,A R & H Davies,Mr. A.R. Davies,4 Kings Road,Llandovery,,LLandovery,,,01550 20269,,,,,,0,,,,,,,,,,
131,Bute Arms,,LLantrisant Road,,,Pontyclun,,,0443 222112,,,,,,0,,,,,,,,,,
132,"Columba (K.S.C.) Club,",,29  Walter Road,,,Swansea,,,01792 643766,,,,,,0,,,,,,,,,,
133,Ann's Off Licence,Ann/Peter Hawkins,607 LLangyfelach Roa,Treboeth,,Swansea,,,01792 775870,,,,,,0,,,,,,,,,,
134,Anne Osborne Newsagents,,6 Parry Road,Sandfields,,Port Talbot,,,01639 899840,,,,,,0,,,,,,,,,,
135,Baglan Social Club,A Davies,Lodge Drive,Baglan,,Port Talbot,,,01639 822508,01639 812412,,,,,0,,,,,,,,,,
136,Black Lion Hotel,,High Street,,,CARDIGAN,,SA43 1HJ,01239-612532,,,,,,0,,,,,,,,,,
137,Swan,MICHEAL & CLAIRE,Neath Road,Morriston,,Swansea,,SA6 8AG,01792 771370,,,,,,0,,,,,,,,,,
138,Betts Nursery,W.M. Betts,Neath Market Hall,Cadoxton,,Neath,,,0639 643336,,,,,,0,,,,,,,,,,
139,B & J Knitwear,,108 Court Street,Blaenclydach,,Rhonnda,,,01443 433793,,,,,,0,,,,,,,,,,
140,Body Natural Of Pembrokeshire,,Unit 6,Riverside Arcade,,Haverfordwest,,,,,,,,,0,,,,,,,,,,
141,Abercycles,,1 High Street,Abertridwr,,Senghenydd,,,01222 831691,,,,,,0,,,,,,,,,,
142,Book & Music Store,Anthony Webster,90 The Struet,,,Brecon,,,0874 4273,,,,,,0,,,,,,,,,,
143,Bollom Dry Cleaners,Mr Coode,90 Bryn Y Mor Road,,,Swansea,,,461090,,,,,,0,,,,,,,,,,
144,Brewers Arms,Thomas Hickey,,Dowlais,,M. Tydfil,,,0685 722229,,,,,,0,,,,,,,,,,
145,Bexhill Leisure Centre,Tim Bolton,"Down Road,",Bexhill On Sea,,,,TN39 4HS,0424 731171,,,0424 731949,,,0,,,,,,,,,,
146,Phil D.I.Y & Sports,,64 Bryntwn Road,Cymmer,,Port Talbot,,,,,,,,,0,,,,,,,,,,
148,Attilio Coiffures,,8 Dillwyn Road,Sketty,,Swansea,,,01792 298868,,,,,,0,,,,,,,,,,
150,Burger Master,Julian James,"Pinetree Garage, A48",Baglan,,Port Talbot,,,0639 822858,,,,,,0,,,,,,,,,,
151,Brains Brewery,Ted/Scarlet/Lisa,Cowbridge Road,Bryn Sadler,,Pontyclun,,CF72 9IY,01443 225453,,,,,,1,,,,,,,,,,
152,Dolphin Hotel,Mr Nanji,Whitewalls,,,Swansea,,SA1 3AB,01792 650011,,,,,,0,,,,,,,,,,
153,Danes Dyke,,,LLanmadoc,,North  Gower,,,,,,,,,0,,,,,,,,,,
154,Ashgrove Inn,,Ashgrove House,,,Colbren,,,0639 701155,,,,,,0,,,,,,,,,,
155,Barry Leisure Centre,Vale of Glamorgan B.Council,"Civic Offices, Holto",Greenwood Street,,Barry,,,01446 744770,0446 700111,,,,01.06.99  THEY HAVE BOUGHT NEW SYSTEM  MICRO CASH,0,,,,,,,,,,
156,Autoglass Ltd,,18 St. Davids Road,St. Davids Ind. Est.,,Swansea,,SA6 8QL,,,,,,,0,,,,,,,,,,
157,Bett`s Nurseries,,,Cadoxton,,Neath,,,0639 632746,,,,,,0,,,,,,,,,,
158,Blaenllynfi Hotel,,Caerau Road,Caerau,,Maesteg,,,01656 732058,,,,,2/6/99 Not interested moving out in 3 weeks time,0,,,,,,,,,,
159,Autoglass Ltd,Mr. Derek Smith,Unit 10 Parkway Cent,Nechells,,Birmingham,,,,,,,,,0,,,,,,,,,,
161,Heath Hospital Sports & Social,"Mr. Norman Lang,",Cardiff Medical Cent,The Heath,,Cardiff,,,02920-747747,,,,,,0,,,,,,,,,,
162,Copper Beech Inn,Paul Coleman,133 Heol Tawe,,,Abercrave,,SA9 1XS,01639 730269,,,,,,0,,,,,,,,,,
163,Natras Restaurant,,16 Wyndham Street,,,Bridgend,,,,,,,,,0,,,,,,,,,,
164,St. Annes Hotel,,,Mumbles,,Swansea,,,,,,,,,0,,,,,,,,,,
165,Tredegar Arms,Mr. Ernest John Bower,75 Rodney Street,,,Swansea,,,0792 41487,,,,,,0,,,,,,,,,,
166,Hussein Akari,,63 St. Helens Road,,,Swansea,,,,,,,,,0,,,,,,,,,,
167,Top Pets,,34-36 Briton Road,,,Neath,,,,,,,,,0,,,,,,,,,,
169,Harmony Bridal Wear,,5a Market Street,,,Pontypridd,,,,,,,,,0,,,,,,,,,,
170,E.P. Jones & Son Newsagents,,50 The Watton,,,Brecon,,,,,,,,,0,,,,,,,,,,
171,Zenon (Used to be Metro),,Stowhill,,,Newport,,,01633 254234,,,,,,0,,,,,,,,,,
172,Emma`s Bookshop,,Brynymor Road,,,Swansea,,,,,,,,,0,,,,,,,,,,
173,Georges Newsagents - HEAD OFFI,Mr Alan George,21 Queen Street,,,Neath,,,0639 643170,,,,,,0,,,,,,,,,,
174,South Glam Libraries Central,,Frederick Street,,,Cardiff,,,,,,,,,0,,,,,,,,,,
175,Pipers Newsagents,Mr. Bastin,Nelson Street,,,Swansea,,,0792/654384,,,,,,0,,,,,,,,,,
176,Tonypandy Angling Supplies,,1a Dunraven Street,,,Tonypandy,,,,,,,,,0,,,,,,,,,,
177,Stall G,Mrs. G. Saunders,Maesteg Market,Maesteg,,Maesteg,,,,,,,,,0,,,,,,,,,,
178,Shoe Box,,30 Newton Road,Newton,,Mumbles,,,0792 367685,,,,,,0,,,,,,,,,,
179,Vicky`s Catercraft,,Central Market,,,Caerphilly,,,,,,,,,0,,,,,,,,,,
180,Images,,14 In Shops,Kingsway,,Newport,,,,,,,,,0,,,,,,,,,,
181,Christine Jajou,,6a Nelson Street,,,Swansea,,,,,,,,,0,,,,,,,,,,
183,Wall Street Nightclub,Robert,West Mall,Aberavon Shopping Cen,,Port Talbot,,,01639 891991,,,,,,0,,,,,,,,,,
184,Kings & Queens Number 1,,"1, Guildhall Sq.,",,,Carmarthen,,,,,,,,,0,,,,,,,,,,
185,St. Josephs Club,John Swan-Bow,Whitchurch Road,Whitchurch,,Cardiff,,,01222/619286,,,,,,0,,,,,,,,,,
186,Cameo Cleaners,S.I.S. Chemicals,3 Thomas Street,,,Chepstow,,,02912 71812,,,,,,0,,,,,,,,,,
187,Michelles,,Stall 37a,Swansea Market,,Swansea,,,0792 462960,,,,,,0,,,,,,,,,,
188,Market Bistro,,Stall 9 Indoor Marke,,,Bridgend,,,,,,,,,0,,,,,,,,,,
189,J.S. Jones (Builders),,Milland Road,,,Neath,,,01639 630834,,,01639 641129,,2/6/99 Already has CCTV  - not required,0,,,,,,,,,,
190,Inco Europe Ltd,,Accounts Payable Dep,Clydach,,Swansea,,SA6 5QR,01792 842501,,,,,,0,,,,,,,,,,
191,Ivorites,,4 Dinas Street,Plasmarl,,Swansea,,,,,,,,,0,,,,,,,,,,
192,Knatty Knitters,,4 Market Arcade,,,Brecon,,,,,,,,,0,,,,,,,,,,
193,Meads Organs,,234 High Street,,,Swansea,,,0792 50379,,,,,,0,,,,,,,,,,
194,Jalna Hotel,,Stammers Road,,,Saundersfoot,,,0834 812282,,,,,,0,,,,,,,,,,
195,Marie James,,33 Cowbridge Road Ea,,,Cardiff,,,,,,,,,0,,,,,,,,,,
196,Paul Jackson Hairdressers,,8 St. Helens Road,,,Swansea,,,,,,,,,0,,,,,,,,,,
197,Coracle Fish Bar,,High Street,,,Brecon,,,0874 2991,,,,,,0,,,,,,,,,,
198,Cards & Gifts,,6a Pant Road,Dowlais,,M. Tydfil,,,,,,,,,0,,,,,,,,,,
199,Captains Table Restaurant,,,Port Eynon,,Swansea,,,0792 390980,,,,,,0,,,,,,,,,,
200,Whitbread Sports & Social Club,Mr. Jeff Dalimore,,,,Rhymney,,,01685 840339,,,,,,0,,,,,,,,,,
201,Penyrheol Leisure Centre,Manager - Dave Osbourne,Pontardulais Rd,"Penyrheol, Gorseinon",,West Glamorgan,,,01792 897039,,,,,,0,,,,,,,,,,
202,"LLyngair Arms Hotel,",P. Thomas,"East Street,",,,Newport,,,0239 820267,,,,,,0,,,,,,,,,,
203,Cato & Son Ltd,,45/47 High Street,Putney,,London,,,,,,,,,0,,,,,,,,,,
204,Cato Homeware,,326 High Street,Chiswick,,London,,,,,,,,,0,,,,,,,,,,
205,Castle Ivor,,,Hopkins Town,,Pontypridd,,,,,,,,,0,,,,,,,,,,
206,Evans,Mr. P. Evans,3 Market Street,Aberafon Centre,,Port Talbot,,,,,,,,,0,,,,,,,,,,
208,Qic Clothing,Mr. James,Castle Close,Enterprise Park,,Swansea,,,701570,,,,,,0,,,,,,,,,,
210,C.C.T.A.,Carmarthen College Of Art,Alban Road,,,LLanelli,,SA15 1NE,01554 759165,,,,,,0,,,,,,,,,,
211,Tropical Fish Centre,,22 Taff Street,,,Pontypridd,,,,,,,,,0,,,,,,,,,,
212,B. Jones,,Stall 33,Swansea Market,,Swansea,,,,,,,,,0,,,,,,,,,,
213,TOP GUN,,,,,NEWPORT,,,,,,,,,0,,,,,,,,,,
214,Careau Ely Sports Club,,Heol Trelau,Ely,,Cardiff,,,,,,,,,0,,,,,,,,,,
216,Terry Griffiths Snooker Club,,Jacksons Lane,,,Carmarthen,,,,,,,,,0,,,,,,,,,,
217,Cardiganshire Farmers,,Station Road,,,Tregaron,,,,,,,,,0,,,,,,,,,,
218,Tropical Fish Centre,,18 Alfred Street,,,Neath,,,0639 53507,,,,,,0,,,,,,,,,,
219,M & K Fruit,,No Address on record,,,,,,,,,,,,0,,,,,,,,,,
220,Cincinatti Video Bar,,,Morriston,,Swansea,,,,,,,,,0,,,,,,,,,,
221,Cornish Mount,Mr. Tom Thomas,Anchor Lane,The Strand,,Swansea,,,0792 653295,,,,,,0,,,,,,,,,,
222,City Surfing Company Ltd,,Picton Arcade,,,Swansea,,,0792 654169,,,,,,0,,,,,,,,,,
223,David Bottoms General Ironmong,British Hardware Federation,Unit 2,Peter Street,,Dundee,,DD1 2EN,021 454 4385,Spencer,,,,,0,,,,,,,,,,
224,Tivoli Fashions,Mrs Jones,1 Carmel Street,,,Abertillery,,,0495/213799,,,,,,0,,,,,,,,,,
225,Globe Inn,,Mysydd Rd,Landore,,Swansea,,,01792 410026,01633/264914,,,,,9,,,,,,,,,,
227,Carnival Records,,4 LLandaff Road,,,Cardiff,,,,,,,,,0,,,,,,,,,,
228,Caine Connection,,Waun Street,Swansea Market,,Swansea,,,,,,,,,0,,,,,,,,,,
229,Castle Hotel,,The Square,,,Haverford West,,,,,,,,,0,,,,,,,,,,
230,Kingsway Circle Covers & Linen,Pam Webber,"44 The Princess Way,",,,Swansea,,SA1 5HE,0792 649934,,,,,,0,,,,,,,,,,
231,Castle Inn,Mrs Smith,Castle Street,,,Narberth,,SA67 7BD,0834 860344,,,,,,0,,,,,,,,,,
232,Colin James Hawkins,,Elm Drive,,,Risca,,,,,,,,,0,,,,,,,,,,
233,Olivers Wine Bar,,17 Hall Street,,,LLanelli,,,0554 752571,,,,,,0,,,,,,,,,,
234,Dunvant Newsagents,,6 The Square,Dunvant,,Swansea,,,0792 205221,,,,,,0,,,,,,,,,,
235,Castle Inn,,2 Bridge Street,LLangenech,,LLanelli,,,,,,,,,0,,,,,,,,,,
236,Champs Animal Food,,147 Windsor Road,,,Neath,,,0639 3899,,,,,,0,,,,,,,,,,
237,Belle Vue Hotel,Coral Port Ltd,Crackwell Street,,,Tenby,,,,,,,,,0,,,,,,,,,,
238,Ten Till Ten,,Cardiff Road,,,Dinas Powys,,,,,,,,,0,,,,,,,,,,
239,Caerphilly Leisure Centre,,,Caerphilly,,Cardiff,,,,,,,,,0,,,,,,,,,,
240,Top Drawer,Mrs Carol Anne Evans,"Castleton Arcade, Ne",Mumbles,,Swansea,,,0792 360022,,,,,,0,,,,,,,,,,
241,Swansea College (Catering Dept,Nigel Richards.,Tycoch Road,Sketty,,Swansea,,,01792 284020,,,,,FINANCE DEPT-LYDIA / 284062,0,,,,,,,,,,
242,Tyrefhddyn Garden Centre,,Bridge Street,,,Newcastle Emlyn,,,,,,,,,0,,,,,,,,,,
243,Dixons,Ms. J Dixon (Taste of Tropic),Swansea Market,,,Swansea,,,,,,,,,0,,,,,,,,,,
244,John Jacksons Chemist,,57 Alexandre Road,,,Gorseinon,,SA4 2NN,,,,,,,0,,,,,,,,,,
245,Dundry Inn,Mr. Bailey,Church Road,,,Bristol,,,0272 641722,,,,,,0,,,,,,,,,,
247,Highway Cafe,,9 Nelson Street,,,Swansea,,,0792 240760,,,,,,0,,,,,,,,,,
